Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case2_PIPE_DS_EN/FreqRanges_MultiRank/run_172/local_log.log,8,4264,4,8,0,0,1876,1,1,44,18,7,7,7,0,0,1,0,8,36,2,6,1,47,6,6,2,2,2,0,0,0,16,0,0,390,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to2_pipes_case5_all_pipes/FreqRanges_MultiRank/run_199/local_log.log,8,4264,4,16,1,0,938,1,1,36,34,7,7,7,1,1,0,1,24,52,2,6,1,175,4,4,2,4,2,0,0,0,16,6,0,872,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to2_pipes_case5_all_pipes/FreqRanges_MultiRank/run_199/local_log.log,8,4264,4,16,1,0,938,1,1,40,18,7,7,7,0,1,1,1,8,36,2,6,1,115,4,0,1,4,2,0,0,0,16,0,0,535,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X16_1to4_pipes_case2_PIPE_DS_EN/FreqRanges_MultiRank/run_82/local_log.log,8,4264,4,16,0,0,1876,1,1,40,18,7,7,7,0,1,1,0,8,36,2,6,1,24,6,6,1,4,2,0,0,0,16,6,0,620,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X16_1to4_pipes_case2_PIPE_DS_EN/FreqRanges_MultiRank/run_82/local_log.log,8,4264,4,16,0,0,1876,1,1,36,18,7,7,7,0,0,0,1,8,36,2,6,1,151,6,0,0,4,2,0,0,0,16,0,0,887,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_37/local_log.log,8,4264,4,16,1,0,938,1,1,40,18,7,7,7,0,1,1,1,8,36,2,6,1,189,6,4,2,4,2,0,0,0,16,6,0,953,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_37/local_log.log,8,4264,4,16,1,0,938,1,1,40,18,7,7,7,0,0,1,0,8,36,2,6,1,187,6,6,1,4,2,0,0,0,16,0,0,651,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_197/local_log.log,8,4264,4,16,1,0,938,1,1,40,18,7,7,7,0,1,1,1,8,36,2,6,1,217,4,0,0,2,2,0,0,0,16,6,0,832,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to2_pipes_case4_PIPE_DS_EN__PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_197/local_log.log,8,4264,4,16,1,0,938,1,1,40,34,7,7,7,1,1,1,1,24,52,2,6,1,251,6,4,0,2,2,0,0,0,16,0,0,612,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_219/local_log.log,8,4264,4,16,0,0,1876,1,1,36,18,7,7,7,0,1,0,0,8,36,2,6,1,216,4,6,2,4,2,0,0,0,16,6,0,798,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_219/local_log.log,8,4264,4,16,0,0,1876,1,1,40,34,7,7,7,1,1,1,0,24,52,2,6,1,63,6,4,2,4,2,0,0,0,16,0,0,158,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X16_1to4_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_87/local_log.log,8,4264,4,16,0,0,1876,1,1,36,18,7,7,7,0,1,0,1,8,36,2,6,1,101,6,4,1,4,2,0,0,0,16,6,0,649,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X16_1to4_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_87/local_log.log,8,4264,4,16,0,0,1876,1,1,36,34,7,7,7,1,1,0,0,24,52,2,6,1,63,4,4,2,4,2,0,0,0,16,0,0,238,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to2_pipes_case5_no_pipes/FreqRanges_MultiRank/run_201/local_log.log,8,4264,4,16,1,0,938,1,1,36,34,7,7,7,1,1,0,1,24,52,2,6,1,60,6,6,2,4,2,0,0,0,16,6,0,921,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X16_1to2_pipes_case5_no_pipes/FreqRanges_MultiRank/run_201/local_log.log,8,4264,4,16,1,0,938,1,1,36,34,7,7,7,1,1,0,1,24,52,2,6,1,223,4,0,0,4,2,0,0,0,16,0,0,914,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X8_1to2/FreqRanges_SingleRank/run_127/local_log.log,8,4264,4,8,1,0,938,1,1,44,18,7,7,7,0,0,1,1,8,36,2,6,1,162,4,0,0,1,2,0,0,0,16,6,0,919,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4X_X8_1to2/FreqRanges_SingleRank/run_127/local_log.log,8,4264,4,8,1,0,938,1,1,44,34,7,7,7,1,0,1,0,24,52,2,6,1,174,4,6,2,1,2,0,0,0,16,0,0,418,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
/server/regressdb/tss_lp54_WW50_GOLD_LP4_CFG8_SIGNOFF_RTL_REGR__20221215_020518__andrei__CONFIG@r9235_VERIF@r9158_PHYTOP@r7271_SOFTIP@r7868_HARDIP@r7644_CSRINIT@r7361_FW@r7227/chain_0/datapath_tests/LP4_X8_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_235/local_log.log,8,4264,4,8,1,0,938,1,1,40,18,7,7,7,0,0,0,1,8,36,2,6,1,87,4,6,1,2,2,0,0,0,16,6,0,436,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,
