Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_WCK_ON,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug,tWDQS_off,csr_BL,csr_RPST,csr_DQSIntervalTimerRunTime,tWDQS_on,csr_PDDS,MinorMode_iProductionTestMode
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_222/local_log.log,8,3264,5,16,0,0,2446,2,1,12,10,3,3,3,1,1,0,1,0,4,2,1,3,4,8,9,5,0,0,2,1,1,1,0,0,1,0,0,0,84,145,4,0,1,2,2,0,0,0,16,6,0,537,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_222/local_log.log,8,4112,5,16,0,0,1942,2,1,14,8,3,3,3,0,1,1,1,0,2,4,1,3,4,8,11,5,0,0,2,1,1,1,0,0,1,0,0,0,14,171,6,6,2,2,2,0,0,0,16,0,0,436,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_176/local_log.log,8,4584,5,16,0,0,1744,2,1,16,14,4,4,4,1,1,0,1,0,7,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,237,145,6,0,0,1,2,0,0,0,16,6,0,850,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_176/local_log.log,8,5480,5,16,0,0,1458,2,1,16,8,4,4,4,0,1,0,0,0,1,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,117,97,0,6,1,1,2,0,0,0,16,0,0,803,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_261/local_log.log,8,2616,5,16,0,0,3050,2,1,10,6,2,2,2,0,1,1,0,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,147,64,6,0,2,1,2,0,0,0,16,6,0,978,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_261/local_log.log,8,2968,5,16,0,0,2690,2,1,10,8,2,2,2,1,1,1,1,0,3,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,199,11,0,4,1,1,2,0,0,0,16,0,0,487,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_71/local_log.log,8,5672,5,16,0,0,1410,2,1,20,16,5,5,5,1,1,1,0,0,9,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,65,155,0,0,2,2,2,0,0,0,16,6,0,485,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5_X16_1to2/FreqRanges_MultiRank/run_71/local_log.log,8,6064,5,16,0,0,1318,2,1,18,16,5,5,5,1,1,0,1,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,133,51,4,6,0,2,2,0,0,0,16,0,0,801,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_LP54_CFG8_GOLD_BRANCH_EXTENDED_SANITY__20221013_133134__andrei__CONFIG@r8914_VERIF@r8918_PHYTOP@r7229_SOFTIP@r7735_HARDIP@r7500_CSRINIT@r7324_FW@r7188/chain_0/GEN2_LP5/datapath_tests/LP5X_X16_1to2/FreqRanges_MultiRank/run_254/local_log.log,8,2960,5,16,0,0,2696,2,1,10,6,2,2,2,0,1,1,0,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,167,179,0,0,0,4,2,0,0,0,16,6,0,617,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
