Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_WCK_ON,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug,tWDQS_off,csr_BL,csr_RPST,csr_DQSIntervalTimerRunTime,tWDQS_on,csr_PDDS,MinorMode_iProductionTestMode
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_247/local_log.log,8,5936,5,16,0,0,1346,4,1,17,15,10,10,10,1,0,1,1,0,10,7,2,4,2,7,12,5,0,0,0,1,1,1,0,1,0,0,0,0,199,3,4,0,1,4,2,0,0,0,16,0,0,398,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_755/local_log.log,8,3256,5,16,0,0,2452,4,1,10,9,6,6,6,1,1,0,1,0,5,3,1,3,2,5,7,5,0,0,0,1,1,1,0,1,0,0,0,0,169,26,0,4,1,4,2,0,0,0,16,6,0,604,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_755/local_log.log,8,3328,5,16,0,0,2400,4,1,10,9,6,6,6,1,1,0,0,0,5,3,1,3,2,5,7,5,0,0,0,1,1,1,0,1,0,0,0,0,141,245,0,4,0,4,2,0,0,0,16,0,0,992,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_986/local_log.log,8,1912,5,16,0,0,4168,4,1,7,4,3,3,3,0,0,1,1,0,1,2,1,2,2,4,5,5,0,0,2,1,1,1,0,0,0,0,0,0,103,153,4,0,2,4,2,0,0,0,16,6,0,627,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_986/local_log.log,8,1648,5,16,0,0,4832,4,1,7,4,3,3,3,0,0,1,0,0,1,2,1,2,2,4,5,5,0,0,2,1,1,1,0,0,0,0,0,0,111,243,0,4,1,4,2,0,0,0,16,0,0,541,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_409/local_log.log,8,5336,5,16,0,0,1498,4,1,15,8,9,9,9,0,0,0,0,0,3,6,2,4,2,6,10,5,0,0,0,1,1,1,0,1,0,0,0,0,159,235,4,6,0,2,2,0,0,0,16,6,0,585,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_409/local_log.log,8,5472,5,16,0,0,1460,4,1,15,8,9,9,9,0,0,0,1,0,3,6,2,4,2,6,10,5,0,0,0,1,1,1,0,1,0,0,0,0,233,52,4,0,0,2,2,0,0,0,16,0,0,702,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_915/local_log.log,8,2440,5,16,0,0,3268,4,1,8,7,4,4,4,1,0,1,0,0,4,2,1,2,2,5,6,5,0,0,2,1,1,1,0,0,0,0,0,0,10,51,4,4,1,2,2,0,0,0,16,6,0,304,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_915/local_log.log,8,2336,5,16,0,0,3414,4,1,8,4,4,4,4,0,1,0,1,0,1,2,1,2,2,5,6,5,0,0,2,1,1,1,0,0,0,0,0,0,127,49,4,6,2,2,2,0,0,0,16,0,0,526,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP5_CFG8_FULL_REGR_CLKGEN_BRANCH__20220928_111836__andrei__CONFIG@r8789_VERIF@r8840_PHYTOP@r7193_SOFTIP@r7661_HARDIP@r7426_CSRINIT@r7290_FW@r7154/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_842/local_log.log,8,2984,5,16,0,0,2674,4,1,9,5,5,5,5,0,1,0,1,0,2,3,1,2,2,5,7,5,0,0,2,1,1,1,0,0,0,0,0,0,90,49,0,4,1,2,2,0,0,0,16,6,0,164,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,
