Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_WCK_ON,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5_ch1_X16_1to4_frontdoor/FreqRanges_SingleRank/run_101/local_log.log,8,6376,5,16,0,0,1254,4,1,17,16,11,11,11,1,0,0,0,0,11,7,2,4,2,7,12,5,0,0,0,1,1,1,0,1,0,0,0,0,40,251,4,6,2,1,2,0,0,0,16,0,0,210,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2_pipes_case5_all_pipes/FreqRanges_MultiRank/run_39/local_log.log,8,6296,5,16,0,0,1270,2,1,18,16,5,5,5,1,0,0,1,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,177,63,6,6,2,1,2,0,0,0,16,6,0,855,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2_pipes_case5_all_pipes/FreqRanges_MultiRank/run_39/local_log.log,8,5928,5,16,0,0,1348,2,1,20,16,5,5,5,1,0,1,1,0,9,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,70,161,6,0,1,1,2,0,0,0,16,0,0,279,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/WL/run_196/local_log.log,8,2704,5,16,0,0,2950,2,1,10,6,2,2,2,0,1,1,0,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,70,141,4,4,0,2,2,0,0,0,16,6,0,112,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/WL/run_196/local_log.log,8,2848,5,16,0,0,2802,2,1,10,6,2,2,2,0,1,0,1,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,233,93,4,0,0,2,2,0,0,0,16,0,0,766,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/BLM/run_200/local_log.log,8,5424,5,16,0,0,1474,2,1,16,14,4,4,4,1,0,0,1,0,7,3,1,4,4,10,12,5,0,0,2,1,1,1,0,0,1,0,0,0,241,129,4,4,1,1,2,0,0,0,16,6,0,465,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/BLM/run_200/local_log.log,8,3784,5,16,0,0,2110,2,1,14,10,3,3,3,1,0,1,0,0,4,4,1,3,4,8,11,5,0,0,2,1,1,1,0,0,1,0,0,0,46,52,6,0,1,1,2,0,0,0,16,0,0,989,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/FreqRanges_MultiRank/run_120/local_log.log,8,5880,5,16,0,0,1360,2,1,20,10,5,5,5,0,0,1,0,0,3,7,2,4,4,10,15,5,0,0,2,1,1,1,0,0,1,0,0,0,121,85,6,4,0,2,2,0,0,0,16,6,0,498,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/FreqRanges_MultiRank/run_120/local_log.log,8,5800,5,16,0,0,1378,2,1,18,10,5,5,5,0,1,0,1,0,3,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,50,8,6,6,2,2,2,0,0,0,16,0,0,359,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/DMI_DBI/run_154/local_log.log,8,5568,5,16,0,0,1436,2,1,18,16,5,5,5,1,0,0,1,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,92,35,6,6,0,1,2,0,0,0,16,6,0,664,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/DMI_DBI/run_154/local_log.log,8,6024,5,16,0,0,1328,2,1,18,10,5,5,5,0,0,0,1,0,3,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,255,226,0,0,2,1,2,0,0,0,16,0,0,891,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/FreqRanges_SingleRank/run_19/local_log.log,8,6088,5,16,0,0,1314,2,1,18,16,5,5,5,1,1,0,0,0,9,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,60,217,0,4,0,1,2,0,0,0,16,6,0,606,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/FreqRanges_SingleRank/run_19/local_log.log,8,5608,5,16,0,0,1426,2,1,18,10,5,5,5,0,1,0,0,0,3,5,2,4,4,10,13,5,0,0,2,1,1,1,0,0,1,0,0,0,194,164,4,4,0,1,2,0,0,0,16,0,0,750,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/Stress/run_178/local_log.log,8,3960,5,16,0,0,2018,2,1,12,8,3,3,3,0,0,0,0,0,2,2,1,3,4,8,9,5,0,0,2,1,1,1,0,0,1,0,0,0,108,74,4,6,0,4,2,0,0,0,16,6,0,935,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
/server/regressdb/tss_lp54_WW38_LP5_CFG8_MIDWEEK1_REGR__20220922_082748__andrei__CONFIG@r8752_VERIF@r8817_PHYTOP@r7184_SOFTIP@r7641_HARDIP@r7415_CSRINIT@r7282_FW@r7146/chain_0/datapath_tests/LP5X_ch1_X16_1to2/Stress/run_178/local_log.log,8,2400,5,16,0,0,3324,2,1,10,6,2,2,2,0,1,0,0,0,1,1,1,2,4,8,8,5,0,0,2,1,1,1,0,0,1,0,0,0,40,228,6,6,0,4,2,0,0,0,16,0,0,216,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,
