Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iSARLogicMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_62/local_log.log,8,6024,5,16,0,0,1328,4,1,17,16,11,11,11,1,1,0,0,0,11,7,2,4,2,7,12,5,0,0,1,1,1,0,1,0,0,0,0,34,233,0,4,1,2,2,0,0,0,16,0,0,591,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_749/local_log.log,8,3536,5,16,0,0,2258,4,1,10,6,6,6,6,0,1,0,0,0,2,3,1,3,2,5,7,5,0,0,1,1,1,0,1,0,0,0,0,250,181,6,4,0,2,2,0,0,0,16,6,0,911,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_749/local_log.log,8,3472,5,16,0,0,2300,4,1,10,9,6,6,6,1,1,0,0,0,5,3,1,3,2,5,7,5,0,0,1,1,1,0,1,0,0,0,0,252,231,4,6,0,2,2,0,0,0,16,0,0,831,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_1122/local_log.log,8,496,5,16,0,0,15874,4,1,3,2,0,0,0,0,1,1,0,0,0,0,0,1,2,3,3,5,0,2,1,1,1,0,0,0,0,0,0,182,179,4,4,1,4,2,0,0,0,16,6,0,379,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_1122/local_log.log,8,456,5,16,0,0,17242,4,1,3,2,0,0,0,0,0,0,1,0,0,0,0,1,2,3,3,5,0,2,1,1,1,0,0,0,0,0,0,175,162,4,6,1,4,2,0,0,0,16,0,0,365,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_543/local_log.log,8,4528,5,16,0,0,1764,4,1,13,7,8,8,8,0,1,0,0,0,3,5,2,3,2,6,9,5,0,0,1,1,1,0,1,0,0,0,0,40,103,6,4,2,2,2,0,0,0,16,6,0,555,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_543/local_log.log,8,4344,5,16,0,0,1840,4,1,13,7,8,8,8,0,0,0,0,0,3,5,2,3,2,6,9,5,0,0,1,1,1,0,1,0,0,0,0,230,43,0,6,1,2,2,0,0,0,16,0,0,214,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_654/local_log.log,8,3864,5,16,0,0,2068,4,1,13,6,7,7,7,0,1,1,1,0,2,5,1,3,2,6,10,5,0,0,1,1,1,0,1,0,0,0,0,210,243,0,4,0,4,2,0,0,0,16,6,0,944,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_654/local_log.log,8,3912,5,16,0,0,2042,4,1,12,6,7,7,7,0,0,0,1,0,2,4,1,3,2,6,9,5,0,0,1,1,1,0,1,0,0,0,0,219,2,0,6,1,4,2,0,0,0,16,0,0,204,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,
/server/regressdb/tss_lp54_SILVER_DROP_LP5_CFG8_FULL_REGR__20221011_101323__andrei__CONFIG@r8891_VERIF@r8906_PHYTOP@r7227_SOFTIP@r7720_HARDIP@r7487_CSRINIT@r7323_FW@r7185/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_909/local_log.log,8,2352,5,16,0,0,3390,4,1,8,7,4,4,4,1,1,1,0,0,4,2,1,2,2,5,6,5,0,2,1,1,1,0,0,0,0,0,0,187,204,0,4,2,2,2,0,0,0,16,6,0,593,15,15,3,0,8,1,4,0,1,0,1,2,3,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,
