Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iPhyMstr_Type3_Disable,MinorMode_iPhyMstr_Type2_Disable,MinorMode_iProductionTestMode,MinorMode_iFWModeDebug,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,csr_WCK_ON,csr_RdqsPre,csr_WCKMode,tWCKENL_FS,tWCKPRE_Toggle_WR,csr_RpstMode,csr_RECC,csr_CKR,csr_BkOrg,csr_WCK_FM,tWCKENL_RD,csr_WECC,csr_CkMode,csr_WCK2DQIIntervalTimerRunTimeSetting,tWCKPST,csr_DVFSC,tWCKPRE_Static,csr_RdqsPst,tWCKENL_WR,BumpReMapCA_6,tWCKPRE_Toggle_FS,csr_WCK2DQOIntervalTimerRunTimeSetting,tWCKPRE_Toggle_RD,csr_WckPst
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_187/local_log.log,8,4264,4,16,1,0,938,1,1,36,18,7,7,7,0,1,0,1,8,36,2,6,1,249,6,6,0,2,2,0,0,0,16,6,0,465,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_187/local_log.log,8,4264,4,16,1,0,938,1,1,40,18,7,7,7,0,1,1,0,8,36,2,6,1,201,4,0,1,2,2,0,0,0,16,0,0,725,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_693/local_log.log,8,4072,4,16,1,0,982,1,1,36,18,7,7,7,0,1,0,0,8,36,2,6,1,222,6,4,2,4,2,0,0,0,16,6,0,954,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_693/local_log.log,8,4056,4,16,1,0,986,1,1,40,34,7,7,7,1,1,1,1,24,52,2,6,1,151,4,6,1,4,2,0,0,0,16,0,0,558,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,2,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_1132/local_log.log,8,3210,4,16,1,0,1246,1,1,36,16,6,6,6,0,0,1,1,6,33,2,6,1,84,4,4,2,4,2,0,0,0,16,6,0,628,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_1132/local_log.log,8,3570,4,16,1,0,1120,1,1,36,16,6,6,6,0,0,1,1,6,33,2,6,1,81,4,6,1,4,2,0,0,0,16,0,0,199,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_1136/local_log.log,8,3378,4,16,0,0,2368,1,1,32,30,6,6,6,1,1,0,0,20,47,2,6,1,121,6,0,2,1,2,0,0,0,16,6,0,606,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_1136/local_log.log,8,3406,4,16,0,0,2348,1,1,32,16,6,6,6,0,1,0,0,6,33,2,6,1,81,4,4,2,1,2,0,0,0,16,0,0,982,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/server/regressdb/tss_lp54_WW39_LP4_CFG8_MIDWEEK2_REGR__20220930_020304__andrei__CONFIG@r8815_VERIF@r8852_PHYTOP@r7202_SOFTIP@r7674_HARDIP@r7439_CSRINIT@r7302_FW@r7164/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_1136/local_log.log,8,3372,4,16,0,0,2372,1,1,32,30,6,6,6,1,0,0,1,20,47,2,6,1,161,6,4,1,1,2,0,0,0,16,0,0,868,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
