,Path,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iClkGatingMode
825,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to4_MinorMode_iRxDQVrefTrain_2/FreqRanges_SingleRank/run_202/local_log.log,4264,4,16,0,0,1876,1,1,36,34,7,7,7,1,1,0,0,24,52,2,6,1,103,4,6.0,0.0,1,1,0,0,0,16,0,0,317,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,,2.0,,
826,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to4_MinorMode_iRxDQVrefTrain_2/FreqRanges_SingleRank/run_202/local_log.log,4264,4,16,0,0,1876,1,1,36,18,7,7,7,0,1,0,0,8,36,2,6,1,99,4,0.0,0.0,1,1,0,0,0,16,0,0,359,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,,2.0,,
827,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to2_cross_stress_RxDq_TxDq/system/run_55/local_log.log,2382,4,16,1,0,1678,1,1,24,22,4,4,4,1,1,0,1,14,37,2,6,1,74,6,4.0,0.0,1,1,0,0,0,16,0,0,227,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,2.0,2.0,,
828,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to2_cross_stress_RxDq_TxDq/system/run_55/local_log.log,3278,4,16,1,0,1220,1,1,36,30,6,6,6,1,0,1,0,20,47,2,6,1,203,6,4.0,2.0,1,1,0,0,0,16,0,0,424,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,2.0,2.0,,
829,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to2_Save_restore_enhanced_tests/system_retention/run_115/local_log.log,2088,4,16,1,0,1914,1,1,22,10,3,3,3,0,0,1,1,4,24,2,6,1,156,4,6.0,2.0,4,1,0,0,0,16,0,0,960,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,2.0,2.0,2.0,
830,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to2_Save_restore_enhanced_tests/system_retention/run_115/local_log.log,2616,4,16,1,0,1528,1,1,28,22,4,4,4,1,0,1,1,14,37,2,6,1,250,6,4.0,1.0,4,1,0,0,0,16,0,0,254,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,2.0,2.0,2.0,
831,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to4_MinorMode_iRxEnhancedTrainMode/FreqRanges_MultiRank/run_354/local_log.log,4264,4,16,0,0,1876,1,1,40,18,7,7,7,0,1,1,1,8,36,2,6,1,221,4,6.0,1.0,2,1,0,0,0,16,0,0,998,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,1,0,0,1.0,,,,
832,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to4_MinorMode_iRxEnhancedTrainMode/FreqRanges_MultiRank/run_354/local_log.log,4264,4,16,0,0,1876,1,1,36,34,7,7,7,1,1,0,0,24,52,2,6,1,75,6,4.0,2.0,2,1,0,0,0,16,0,0,719,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,1,0,0,1.0,,,,
833,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to4_MinorMode_iRxEnhancedTrainMode/DMI_DBI/run_439/local_log.log,3016,4,16,0,0,2652,1,1,28,14,5,5,5,0,0,0,1,6,30,2,6,1,174,4,4.0,1.0,1,1,0,0,0,16,0,0,123,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,1,0,0,1.0,,,,
834,/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/training_tests/ch1_X16_1to4_MinorMode_iRxEnhancedTrainMode/DMI_DBI/run_439/local_log.log,4032,4,16,0,0,1984,1,1,36,34,7,7,7,1,0,0,1,24,52,2,6,1,54,4,4.0,1.0,1,1,0,0,0,16,0,0,745,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,1,0,0,1.0,,,,
