,Path,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iSARLogicMode,MinorMode_iClkGatingMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug,tWDQS_off,csr_BL,csr_RPST,csr_DQSIntervalTimerRunTime,tWDQS_on,csr_PDDS,MinorMode_iProductionTestMode,MinorMode_iCalibrationMode
34388,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_190/local_log.log,4272,5,16,0,0,1870,2,1,16,8,4,4,4,0,0,1,0,0.0,1.0,3.0,1.0,4.0,4.0,10.0,12.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,6,0.0,2.0,4,2,0,0,0,16,6,0,835,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34389,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_190/local_log.log,5056,5,16,0,0,1580,2,1,16,14,4,4,4,1,0,1,0,0.0,7.0,3.0,1.0,4.0,4.0,10.0,12.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,203.0,210.0,6,4.0,0.0,4,2,0,0,0,16,0,0,984,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34390,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_473/local_log.log,2336,5,16,0,0,3414,2,1,10,8,2,2,2,1,1,0,1,0.0,3.0,1.0,1.0,2.0,4.0,8.0,8.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,221.0,128.0,4,0.0,2.0,1,2,0,0,0,16,6,0,449,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34391,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_473/local_log.log,2912,5,16,0,0,2740,2,1,10,8,2,2,2,1,1,0,1,0.0,3.0,1.0,1.0,2.0,4.0,8.0,8.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,149.0,236.0,4,6.0,1.0,1,2,0,0,0,16,0,0,657,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34392,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_9/local_log.log,6152,5,16,0,0,1300,2,1,20,16,5,5,5,1,1,1,1,0.0,9.0,7.0,2.0,4.0,4.0,10.0,15.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,238.0,33.0,0,4.0,1.0,2,2,0,0,0,16,6,0,520,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34393,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_9/local_log.log,5504,5,16,0,0,1452,2,1,20,16,5,5,5,1,1,1,1,0.0,9.0,7.0,2.0,4.0,4.0,10.0,15.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,103.0,85.0,0,4.0,2.0,2,2,0,0,0,16,0,0,482,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34394,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_341/local_log.log,3728,5,16,0,0,2142,2,1,14,10,3,3,3,1,0,1,0,0.0,4.0,4.0,1.0,3.0,4.0,8.0,11.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,150.0,252.0,0,6.0,1.0,4,2,0,0,0,16,6,0,453,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34395,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to2_frontdoor/FreqRanges_SingleRank/run_341/local_log.log,3560,5,16,0,0,2244,2,1,14,8,3,3,3,0,1,1,1,0.0,2.0,4.0,1.0,3.0,4.0,8.0,11.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,237.0,211.0,6,4.0,0.0,4,2,0,0,0,16,0,0,863,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34396,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_982/local_log.log,1480,5,16,0,0,5378,4,1,5,3,2,2,2,0,1,0,0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,112.0,6,0.0,1.0,4,2,0,0,0,16,6,0,490,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
34397,/server/regressdb/tss_lp54_WW36_LP5_CFG8_FULL_REGR__20220909_100504__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP5X_ch1_X16_1to4_pipes_case3/FreqRanges_MultiRank/run_982/local_log.log,1312,5,16,0,0,6062,4,1,5,3,2,2,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,51.0,6,4.0,2.0,4,2,0,0,0,16,0,0,543,15,15,3,0,8,1,4,0,1,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,,,,,,,,1.0
