,Path,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iClkGatingMode,MinorMode_iCalibrationMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iSARLogicMode,csr_RdqsPre,csr_WCKMode,tWCKENL_FS,tWCKPRE_Toggle_WR,csr_RpstMode,csr_RECC,csr_CKR,csr_BkOrg,csr_WCK_FM,tWCKENL_RD,csr_WECC,csr_CkMode,csr_WCK2DQIIntervalTimerRunTimeSetting,tWCKPST,csr_DVFSC,tWCKPRE_Static,csr_RdqsPst,tWCKENL_WR,BumpReMapCA_6,tWCKPRE_Toggle_FS,csr_WCK2DQOIntervalTimerRunTimeSetting,tWCKPRE_Toggle_RD,csr_WckPst,MinorMode_iProductionTestMode,MinorMode_iFWModeDebug
34776,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_3324/local_log.log,1052,4,16,1,0,3796,1,1,12,8,1,1,1,1,1,1,1,0.0,20.0,2.0,6.0,1.0,9.0,0,0.0,0.0,1,1,0,0,0,16,6,0,549,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34777,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_3324/local_log.log,2804,4,16,1,0,1426,1,1,32,14,5,5,5,0,1,1,1,6.0,30.0,2.0,6.0,1.0,16.0,6,4.0,2.0,1,1,0,0,0,16,0,0,774,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34778,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_5644/local_log.log,2462,4,16,1,0,1624,1,1,24,12,4,4,4,0,1,0,0,4.0,27.0,2.0,6.0,1.0,100.0,6,4.0,2.0,2,1,0,0,0,16,6,0,604,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34779,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_5644/local_log.log,1138,4,16,1,0,3510,1,1,14,8,2,2,2,0,1,0,0,0.0,21.0,2.0,6.0,1.0,213.0,0,0.0,1.0,2,1,0,0,0,16,0,0,464,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34780,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_6364/local_log.log,4064,4,16,1,0,984,1,1,36,34,7,7,7,1,1,0,0,24.0,52.0,2.0,6.0,1.0,56.0,4,4.0,0.0,1,1,0,0,0,16,6,0,808,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34781,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_6364/local_log.log,2252,4,16,1,0,1776,1,1,24,12,4,4,4,0,1,0,1,4.0,27.0,2.0,6.0,1.0,172.0,6,0.0,0.0,1,1,0,0,0,16,0,0,329,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34782,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_5716/local_log.log,3668,4,16,1,0,1090,1,1,32,16,6,6,6,0,0,0,1,6.0,33.0,2.0,6.0,1.0,200.0,4,4.0,1.0,4,1,0,0,0,16,6,0,336,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34783,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_5716/local_log.log,2272,4,16,1,0,1760,1,1,24,12,4,4,4,0,0,0,0,4.0,27.0,2.0,6.0,1.0,246.0,4,4.0,2.0,4,1,0,0,0,16,0,0,426,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34784,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_6356/local_log.log,1256,4,16,1,0,3180,1,1,14,12,2,2,2,1,1,0,1,6.0,25.0,2.0,6.0,1.0,137.0,6,0.0,1.0,2,1,0,0,0,16,6,0,871,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34785,/server/regressdb/tss_lp54_WW31_LP4_CFG8_FUL_REGR__20220805_100907__andrei__CONFIG@r8518_VERIF@r8701_PHYTOP@r7137_SOFTIP@r7557_HARDIP@r7339_CSRINIT@r7240_FW@r7107/chain_0/datapath_tests/LP4_X16_1to2/BLM/run_6356/local_log.log,2332,4,16,1,0,1714,1,1,24,12,4,4,4,0,0,0,1,4.0,27.0,2.0,6.0,1.0,247.0,6,4.0,2.0,2,1,0,0,0,16,0,0,107,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
