Path,Phy_Cfg,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,tWDQS_on,tWDQS_off,csr_BL,csr_PDDS,csr_RPST,csr_DQSIntervalTimerRunTime,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iClkGatingMode
LABELS,exta,extra,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_SPEC,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_MODE,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST,FUNCTIONAL_TEST
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_191/local_log.log,3,4264,4,16,1,0,938,1,1,40,18,7,7,7,0,1,1,0,8,36,2,6,1,24,6,4,1,2,1,0,0,0,16,0,0,236,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4_X16_1to2_pipes_case3_PIPE_SH_EN__PIPE_SH_DQS_EN/FreqRanges_MultiRank/run_191/local_log.log,3,4264,4,16,1,0,938,1,1,36,18,7,7,7,0,1,0,0,8,36,2,6,1,8,6,4,1,2,1,0,0,0,16,0,0,536,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_197/local_log.log,3,4264,4,16,0,0,1876,1,1,40,34,7,7,7,1,1,1,0,24,52,2,6,1,157,4,6,2,1,1,0,0,0,16,0,0,847,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_197/local_log.log,3,4264,4,16,0,0,1876,1,1,40,18,7,7,7,0,1,1,0,8,36,2,6,1,60,4,6,0,1,1,0,0,0,16,0,0,775,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_197/local_log.log,3,4264,4,16,0,0,1876,1,1,36,18,7,7,7,0,1,0,1,8,36,2,6,1,197,4,0,1,1,1,0,0,0,16,0,0,907,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4_ch2_X16_1to4/FreqRanges/run_197/local_log.log,3,4264,4,16,0,0,1876,1,1,40,34,7,7,7,1,0,1,0,24,52,2,6,1,194,4,0,0,1,1,0,0,0,16,0,0,272,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_176/local_log.log,3,4264,4,8,0,0,1876,1,1,44,18,7,7,7,0,0,1,1,8,36,2,6,1,194,6,0,2,2,1,0,0,0,16,0,0,954,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_176/local_log.log,3,4264,4,8,0,0,1876,1,1,44,34,7,7,7,1,0,1,1,24,52,2,6,1,251,4,6,1,2,1,0,0,0,16,0,0,212,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4X_ch2_X8_1to2/FreqRanges/run_101/local_log.log,3,4264,4,8,1,0,938,1,1,40,34,7,7,7,1,0,0,0,24,52,2,6,1,111,6,4,1,1,1,0,0,0,16,0,0,200,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4X_ch2_X8_1to2/FreqRanges/run_101/local_log.log,3,4264,4,8,1,0,938,1,1,40,18,7,7,7,0,0,0,0,8,36,2,6,1,37,6,4,1,1,1,0,0,0,16,0,0,638,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4X_ch2_X8_1to2/FreqRanges/run_101/local_log.log,3,4264,4,8,1,0,938,1,1,44,18,7,7,7,0,1,1,1,8,36,2,6,1,234,4,0,0,1,1,0,0,0,16,0,0,217,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
/server/regressdb/tss_lp54_WW32_LP4_CFG3_MIDWEEK1_REGR__20220810_093701__andrei__CONFIG@r8532_VERIF@r8706_PHYTOP@r7138_SOFTIP@r7561_HARDIP@r7341_CSRINIT@r7242_FW@r7109/chain_0/datapath_tests/LP4X_ch2_X8_1to2/FreqRanges/run_101/local_log.log,3,4264,4,8,1,0,938,1,1,40,18,7,7,7,0,0,0,0,8,36,2,6,1,83,4,0,2,1,1,0,0,0,16,0,0,416,15,15,3,0,8,1,4,0,1,6,7,8,9,0,1,2,3,4,5,0,0,0,1,2,3,4,5,6,7,8,0,0,1,0,1,2,3,4,5,6,7,8,0,0,0,0,1,0,0,0,0,1,,,,
