,Path,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iSARLogicMode,MinorMode_iClkGatingMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug,tWDQS_off,csr_BL,csr_RPST,csr_DQSIntervalTimerRunTime,tWDQS_on,csr_PDDS,MinorMode_iProductionTestMode,MinorMode_iCalibrationMode
19970,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2430/local_log.log,1450,4,8,0,0,5512,1,1,18,8,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,6.0,0.0,4,2,0,0,0,16,6,0,905,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,21.0,2.0,1.0,233.0,0.0,6.0,,1.0
19971,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2430/local_log.log,1590,4,8,0,0,5028,1,1,16,8,2,2,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1.0,4,2,0,0,0,16,0,0,204,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,21.0,2.0,1.0,191.0,0.0,6.0,,1.0
19972,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_639/local_log.log,3936,4,8,0,0,2032,1,1,40,34,7,7,7,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6,4.0,0.0,4,2,0,0,0,16,6,0,171,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,52.0,2.0,1.0,238.0,24.0,6.0,,1.0
19973,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_639/local_log.log,3992,4,8,0,0,2004,1,1,40,18,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6,4.0,1.0,4,2,0,0,0,16,0,0,658,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,36.0,2.0,1.0,165.0,8.0,6.0,,1.0
19974,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2705/local_log.log,960,4,8,0,0,8320,1,1,12,8,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,6.0,1.0,2,2,0,0,0,16,6,0,679,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,20.0,2.0,1.0,204.0,0.0,6.0,,1.0
19975,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2705/local_log.log,994,4,8,0,0,8036,1,1,10,6,1,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0.0,1.0,2,2,0,0,0,16,0,0,159,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,18.0,2.0,1.0,138.0,0.0,6.0,,1.0
19976,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_1449/local_log.log,2976,4,8,0,0,2688,1,1,36,14,5,5,5,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,6,6.0,0.0,4,2,0,0,0,16,6,0,966,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,30.0,2.0,1.0,151.0,6.0,6.0,,1.0
19977,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_1449/local_log.log,2872,4,8,0,0,2784,1,1,32,14,5,5,5,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,4,2,0,0,0,16,0,0,999,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,30.0,2.0,1.0,248.0,6.0,6.0,,1.0
19978,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2123/local_log.log,2070,4,8,0,0,3864,1,1,22,18,3,3,3,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,6,6.0,2.0,4,2,0,0,0,16,6,0,979,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,32.0,2.0,1.0,177.0,12.0,6.0,,1.0
19979,/server/regressdb/tss_lp54_WW36_LP4_CFG8_FULL_REGR__20220909_100440__andrei__CONFIG@r8691_VERIF@r8774_PHYTOP@r7161_SOFTIP@r7605_HARDIP@r7387_CSRINIT@r7264_FW@r7125/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2123/local_log.log,2104,4,8,0,0,3800,1,1,24,18,3,3,3,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,4,2,0,0,0,16,0,0,439,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,32.0,2.0,1.0,226.0,12.0,6.0,,1.0
