,Path,Baud_Rate,MajorSystemMode,MajorMode,dfi2ckratio,SimMode_iDisableDebugPrint,dfiperiod,wck2ckratio,latencyMode,EffectiveRL,EffectiveWL,csr_WL,csr_nWR,csr_RL,csr_WLS,csr_DbiWr,csr_DbiRd,csr_DMD,csr_DVFSC,tWCKENL_WR,tWCKENL_RD,tWCKENL_FS,tWCKPRE_Static,tWCKPRE_Toggle_WR,tWCKPRE_Toggle_RD,tWCKPRE_Toggle_FS,tWCKPST,csr_CkMode,csr_BkOrg,csr_RdqsPst,csr_RdqsPre,csr_WckPst,csr_RpstMode,csr_WCK_FM,csr_CKR,csr_WCKMode,csr_RECC,csr_WECC,csr_WCK2DQIIntervalTimerRunTimeSetting,csr_WCK2DQOIntervalTimerRunTimeSetting,csr_DQODT,csr_CAODT,csr_CSODT,MinorMode_iActiveRanks,MinorMode_iRetrainMode,MinorMode_iWdqsDriveMode,MinorMode_iPLLCalMode,PLL_DisableHwCal,PLL_NumCalClkCycles,MinorMode_iDLLCalibrationMode,DLL_EnablePeriodicCal,DLL_Period,DLL_OverSampleRate,DLL_CodeChangeDelay,DLL_CommandWait,DLL_DcdlStart,DLL_DcdlStep,DLL_EnableUpdateLimit,DLL_UpdateLimit,MinorMode_iDFTProgram,MinorMode_iBumpReMap_En,BumpReMapCS_0,BumpReMapCS_1,BumpReMapCS_2,BumpReMapCS_3,BumpReMapCA_0,BumpReMapCA_1,BumpReMapCA_2,BumpReMapCA_3,BumpReMapCA_4,BumpReMapCA_5,BumpReMapCA_6,BumpReMapCK,BumpReMapDBYTE_0,BumpReMapDQ0_0,BumpReMapDQ0_1,BumpReMapDQ0_2,BumpReMapDQ0_3,BumpReMapDQ0_4,BumpReMapDQ0_5,BumpReMapDQ0_6,BumpReMapDQ0_7,BumpReMapDMI_0,BumpReMapDQS_0,BumpReMapWCK_0,BumpReMapDBYTE_1,BumpReMapDQ1_0,BumpReMapDQ1_1,BumpReMapDQ1_2,BumpReMapDQ1_3,BumpReMapDQ1_4,BumpReMapDQ1_5,BumpReMapDQ1_6,BumpReMapDQ1_7,BumpReMapDMI_1,BumpReMapDQS_1,BumpReMapWCK_1,MinorMode_iClkEnMode,MinorMode_iRxTCTrain,MinorMode_iRetrainGateMode,MinorMode_iCSTEn,MinorMode_iRxEnhancedTrainMode,MinorMode_iPhyMstr_DRAM_Mode,MinorMode_iRxReadGateScheme,MinorMode_iDMITrainMode,MinorMode_iSARLogicMode,MinorMode_iClkGatingMode,MinorMode_iTxDQVrefTrain,MinorMode_iRxDQVrefTrain,MinorMode_iCBTVrefTrain,MinorMode_iFWModeDebug,tWDQS_off,csr_BL,csr_RPST,csr_DQSIntervalTimerRunTime,tWDQS_on,csr_PDDS,MinorMode_iProductionTestMode,MinorMode_iCalibrationMode
26722,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2015/local_log.log,1410,4,8,0,0,5668,1,1,18,12,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,4,6.0,1.0,4,1,0,0,0,16,6,0,620,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,25.0,2.0,1.0,243.0,6.0,6.0,,1.0
26723,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_2015/local_log.log,1394,4,8,0,0,5732,1,1,18,8,2,2,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,4.0,0.0,4,1,0,0,0,16,0,0,509,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,21.0,2.0,1.0,212.0,0.0,6.0,,1.0
26724,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_844/local_log.log,3294,4,8,0,0,2428,1,1,36,30,6,6,6,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,6,6.0,0.0,4,1,0,0,0,16,6,0,193,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,47.0,2.0,1.0,150.0,20.0,6.0,,1.0
26725,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_844/local_log.log,3602,4,8,0,0,2220,1,1,36,16,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,6,6.0,2.0,4,1,0,0,0,16,0,0,238,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,33.0,2.0,1.0,84.0,6.0,6.0,,1.0
26726,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_509/local_log.log,4132,4,8,0,0,1936,1,1,44,34,7,7,7,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,4,0.0,2.0,4,1,0,0,0,16,6,0,474,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,52.0,2.0,1.0,174.0,24.0,6.0,,1.0
26727,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_509/local_log.log,4000,4,8,0,0,2000,1,1,44,34,7,7,7,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,4,4.0,1.0,4,1,0,0,0,16,0,0,222,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,2,0,0,0,0,1.0,,3.0,,,,,52.0,2.0,1.0,46.0,24.0,6.0,,1.0
26728,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_131/local_log.log,4264,4,8,0,0,1876,1,1,44,34,7,7,7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,6,4.0,1.0,4,1,0,0,0,16,6,0,653,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,,3.0,,,,,52.0,2.0,1.0,156.0,24.0,6.0,,1.0
26729,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_131/local_log.log,4264,4,8,0,0,1876,1,1,44,18,7,7,7,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,6,6.0,1.0,4,1,0,0,0,16,0,0,798,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,0,0,0,0,0,1.0,,3.0,,,,,36.0,2.0,1.0,193.0,8.0,6.0,,1.0
26730,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_1465/local_log.log,2352,4,8,0,0,3400,1,1,26,12,4,4,4,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0.0,2,1,0,0,0,16,6,0,861,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,27.0,2.0,1.0,205.0,4.0,6.0,,1.0
26731,/server/regressdb/tss_lp54_WW30_LP4_CFG8_FULL_REGR__20220729_103151__andrei__CONFIG@r8499_VERIF@r8683_PHYTOP@r7133_SOFTIP@r7552_HARDIP@r7333_CSRINIT@r7236_FW@r7105/chain_0/datapath_tests/LP4X_X8_1to4_pipes_case5_all_pipes/FreqRanges_MultiRank/run_1465/local_log.log,2176,4,8,0,0,3676,1,1,30,12,4,4,4,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,4,6.0,0.0,2,1,0,0,0,16,0,0,137,15,15,3,0,8,1,4,0,1,6.0,7.0,8.0,9.0,0.0,1.0,2.0,3.0,4.0,5.0,,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0,0,1,0,0,0,0,1.0,,3.0,,,,,27.0,2.0,1.0,207.0,4.0,6.0,,1.0
